Poco;Tipo;LDA;Class_etapa;Duracao;UO;Campo;Tipo_sonda;Sonda;Data_fim_etapa
7-MRL-101D-RJS;Convencional com BOP;871;Faseado Etapa 1;20,0001;UO-BC;MARLIM;DP-GEN;SS-81;2/13/2021 12:00:00 AM
7-MRL-104D-RJS;Convencional com BOP;946,5;Faseado Etapa 1;24,0833;UO-BC;MARLIM;DP-GEN;SS-83;12/19/2021 2:00:00 AM
7-MRL-109H-RJS;Convencional RCMA;770;Faseado Completo;5,625;UO-BC;MARLIM;DP-GEN;SS-70;8/29/2021 8:00:00 PM
7-MRL-109H-RJS;Convencional RCMA;770;Faseado Completo;25,5417;UO-BC;MARLIM;DP-LWO;NS-51;2/20/2020 5:30:00 PM
7-MRL-115H-RJS;Convencional com BOP;981;Faseado Etapa 1;24,7915;UO-BC;MARLIM;DP-GEN;SS-70;10/31/2020 9:00:00 AM
7-MRL-123HP-RJS;Convencional com BOP;1020;Faseado Etapa 1;32,0415;UO-BC;MARLIM;DP-LWO;NS-51;4/18/2020 8:00:00 AM
7-MRL-126HP-RJS;Convencional com BOP;982;Faseado Completo;32,4581;UO-BC;MARLIM;DP-GEN;SS-83;12/27/2020 5:00:00 PM
7-MRL-126HP-RJS;Convencional com BOP;982;Faseado Completo;17,7287;UO-BC;MARLIM;DP-GEN;SS-73;2/2/2021 8:30:00 PM
7-MRL-127HB-RJS;Convencional com BOP;822;Faseado Etapa 1;39,3958;UO-BC;MARLIM;DP-GEN;SS-79;2/13/2017 10:30:00 AM
7-MRL-131HP-RJS;Convencional com BOP;841;Etapa Única;61,5417;UO-BC;MARLIM;DP-GEN;SS-56;9/17/2016 9:00:00 AM
7-MRL-136HP-RJS;Convencional com BOP;1016;Faseado Etapa 1;19,521;UO-BC;MARLIM;DP-GEN;SS-83;11/25/2020 6:00:00 AM
7-MRL-136HP-RJS;Convencional com BOP;1016;Faseado Etapa 1;21,1042;UO-BC;MARLIM;DP-GEN;SS-83;2/3/2021 4:00:00 AM
7-MRL-138HP-RJS;Convencional com BOP;953;Faseado Etapa 1;10,0833;UO-BC;MARLIM;DP-GEN;SS-83;2/28/2021 3:30:00 AM
7-MRL-14-RJS;Superconvencional;880;Etapa Única;99,3124;UO-BC;MARLIM;DP-GEN;SS-87;12/18/2016 11:00:00 PM
7-MRL-154HP-RJS;Through-Tubing;938;Etapa Única;49,6455;UO-BC;MARLIM;DP-GEN;SS-83;11/7/2021 1:30:00 AM
7-MRL-194HP-RJS;Through-Tubing;939;Etapa Única;37,0001;UO-BC;MARLIM;DP-GEN;SS-81;1/24/2021 12:00:00 AM
7-MRL-19D-RJS;Superconvencional;880;Faseado Completo;31,7916;UO-BC;MARLIM;DP-GEN;SS-87;8/20/2017 11:00:00 AM
7-MRL-19D-RJS;Superconvencional;880;Faseado Completo;97,562;UO-BC;MARLIM;DP-GEN;SS-57;7/9/2018 11:00:00 AM
7-MRL-24D-RJS;Through-Tubing;980;Etapa Única;35,417;UO-BC;MARLIM;DP-LWO;NS-52;5/1/2021 10:00:00 PM
7-MRL-40D-RJS;Superconvencional;810;Etapa Única;63,7286;UO-BC;MARLIM;DP-GEN;SS-56;3/2/2017 6:30:00 AM
