Poco_id,Poco,Tipo,LDA,Class_etapa,Duracao,UO,Campo,Tipo_sonda,Sonda,Data_fim_etapa
1,1-ESS-103A,Convencional com BOP,1374,Etapa Unica,55.7501,UO-ES,JUBARTE,DP-GEN,SS-85,12/07/2019
2,1-RJS-186A,Convencional com BOP,231,Etapa Unica,53.4997,UO-BC,PIRAUNA,ANC,SS-45,20/09/2015
3,1-RJS-236B,Superconvencional,99,Etapa Unica,54.2918,UO-BC,TRILHA,ANC,P-10,03/08/2015
4,1-RJS-284,Through-Tubing,383,Etapa Unica,50.6043,UO-BC,MARIMBA,ANC,SS-45,25/02/2017
5,1-RJS-436A,Convencional com BOP,1853,Etapa Unica,28.9165,UO-ES,RONCADOR,DP-GEN,SS-70,05/12/2021
6,1-RJS-460,Superconvencional,951,Etapa Unica,58.1042,UO-BC,MARLIM SUL,DP-GEN,SS-81,29/10/2020
7,1-RJS-49,Superconvencional,101,Etapa Unica,27.6666,UO-BC,LINGUADO,ANC,P-17,30/09/2015
8,1-RJS-512HA,Superconvencional,328,Etapa Unica,83.7296,UO-BC,CONGRO,ANC,SS-45,28/06/2021
9,1-SPS-44,Convencional com BOP,147,Etapa Unica,25.0625,E&P-EXP,BM-S-3,DP-GEN,SS-54,19/01/2015
10,1-SPS-44,Convencional com BOP,147,Etapa Unica,17.5,E&P-EXP,BM-S-3,DP-GEN,SS-67,19/01/2015
11,2-ANP-1-RJS,Through-Tubing,1894,Etapa Unica,32.7705,BUZIOS,BUZIOS,DP-GEN,NS-31,23/08/2017
12,3-BD-15C-RJS,Superconvencional,95,Faseado Etapa 1,50.9996,UO-BC,BADEJO,ANC,SS-45,29/07/2015
13,3-LI-5-RJS,Convencional com BOP,103,Etapa Unica,53.2921,UO-BC,LINGUADO,ANC,P-10,26/09/2015
14,3-PRM-12-SES,Through-Tubing,813,Etapa Unica,23.4793,UO-SEAL,PIRANEMA,DP-LWO,NS-51,16/02/2021
15,3-RJS-157C,Convencional com BOP,101,Faseado Completo,13.3334,UO-BC,LINGUADO,ANC,P-16,02/06/2016
16,3-RJS-157C,Convencional com BOP,101,Faseado Completo,22.5621,UO-BC,LINGUADO,ANC,SS-45,02/06/2016
